MALZEME,YIL,ÜLKELER,TOPLAM,Denizyolu,Demiryolu,Karayolu
çimento,2019,İSPANYA,60965.0,60965.0,,
çimento,2019,GUATEMALA,53800.0,53800.0,,
çimento,2019,ARNAVUTLUK,36500.0,36500.0,,
çimento,2019,Mersin Ser. Böl.,32808.0,32808.0,,
çimento,2019,FRANSA,28997.0,28997.0,,
çimento,2019,TRİNİDAD TOBAGO,25473.0,25473.0,,
çimento,2019,İNGİLTERE,25369.0,25369.0,,
çimento,2019,POLONYA,25051.0,25051.0,,
çimento,2019,GUYANA,24004.0,24004.0,,
çimento,2019,MEKSİKA,18002.0,18002.0,,
çimento,2019,TANZANYA,14809.0,14809.0,,
çimento,2019,PERU,14228.0,14228.0,,
çimento,2019,ARJANTİN,12332.0,12332.0,,
çimento,2019,BEYAZ RUSYA,12050.0,12050.0,,
çimento,2019,ABHAZYA,11386.0,11386.0,,
çimento,2019,EKVATOR GİNESİ,10003.0,10003.0,,
çimento,2019,DOMİNİK,9505.0,9505.0,,
çimento,2019,BARBADOS,8626.0,8626.0,,
çimento,2019,ST KITTS & NEVIS,8001.0,8001.0,,
çimento,2019,KOSOVA,6601.0,6601.0,,
çimento,2019,KOSTA RİKA,6557.0,6557.0,,
çimento,2019,DANİMARKA,5400.0,5400.0,,
çimento,2019,BENİN,5001.0,5001.0,,
çimento,2019,KATAR,4570.0,4570.0,,
çimento,2019,ST VINCENT,4401.0,4401.0,,
çimento,2019,MALTA,3849.0,3849.0,,
çimento,2019,KANADA,3749.0,3749.0,,
çimento,2019,HOLLANDA,3439.0,3439.0,,
çimento,2019,ŞİLİ,3345.0,3345.0,,
çimento,2019,MISIR,3000.0,3000.0,,
çimento,2019,ST LUCIA,2999.0,2999.0,,
çimento,2019,EL SALVADOR,2849.0,2849.0,,
çimento,2019,GÜNEY AFRİKA,2646.0,2646.0,,
çimento,2019,GÜNEY KORE,2574.0,2574.0,,
çimento,2019,AZERBAYCAN,2520.0,,,2520.0
çimento,2019,KARAYİPLER,2025.0,2025.0,,
çimento,2019,SOMALİ,2000.0,2000.0,,
çimento,2019,S.ARABİSTAN,1998.0,1998.0,,
çimento,2019,YEMEN,1810.0,1810.0,,
çimento,2019,İRLANDA,1702.0,1702.0,,
çimento,2019,ESTONYA,1325.0,1325.0,,
çimento,2019,KENYA,1324.0,1324.0,,
çimento,2019,PORTO RİKO,1212.0,1212.0,,
çimento,2019,FİNLANDİYA,1157.0,1157.0,,
çimento,2019,ANTİGUA & BARBUDA,953.0,953.0,,
çimento,2019,MORİTANYA,952.0,952.0,,
çimento,2019,ÖZBEKİSTAN,698.0,,698.0,
çimento,2019,SRİ LANKA,587.0,587.0,,
çimento,2019,LETONYA,564.0,564.0,,
çimento,2019,JAMAİKA,323.0,323.0,,
çimento,2019,NİJERYA,296.0,296.0,,
çimento,2019,KONGO,224.0,224.0,,
çimento,2019,Yumurtalık Ser. B,165.0,,,165.0
çimento,2019,EKVATOR ,161.0,161.0,,
çimento,2019,ANGOLA,140.0,140.0,,
çimento,2019,MAURİTİUS,132.0,132.0,,
çimento,2019,BAHAMA,106.0,106.0,,
çimento,2019,KARADAĞ,96.0,96.0,,
çimento,2019,MOZAMBİK,84.0,84.0,,
çimento,2019,TÜRKMENİSTAN,66.0,,48.0,18.0
çimento,2019,UGANDA,56.0,56.0,,
çimento,2019,VENEZUELLA,56.0,56.0,,
çimento,2019,BELÇİKA,54.0,54.0,,
çimento,2019,ÇURACAO,54.0,54.0,,
çimento,2019,YENİ ZELANDA,54.0,54.0,,
çimento,2019,TURK & CAICOS,53.0,53.0,,
çimento,2019,ETİYOPYA,28.0,28.0,,
çimento,2019,İZLANDA,27.0,27.0,,
çimento,2019,KAMERUN,27.0,27.0,,
çimento,2019,ST MAARTEN,27.0,27.0,,
çimento,2020,A.B.D.,5038370.0,5038370.0,,
çimento,2020,İSRAİL,3105267.0,3105267.0,,
çimento,2020,SURİYE,1311717.0,,18411.0,1293306.0
çimento,2020,HAİTİ,903616.0,903616.0,,
çimento,2020,LİBYA,894671.0,894671.0,,
çimento,2020,UKRAYNA,752446.0,752446.0,,
çimento,2020,GANA,579445.0,579445.0,,
çimento,2020,SİERRA LEONE,368784.0,368784.0,,
çimento,2020,GAMBİYA,292921.0,292921.0,,
çimento,2020,ROMANYA,252800.0,252800.0,,
çimento,2020,İTALYA,251327.0,251327.0,,
çimento,2020,BULGARİSTAN,243340.0,66681.0,131861.0,44798.0
çimento,2020,K.K.T.C.,220966.0,220966.0,,
çimento,2020,LİBERYA,183492.0,183492.0,,
çimento,2020,GÜRCİSTAN,163845.0,75809.0,,88036.0
çimento,2020,RUSYA,144506.0,144506.0,,
çimento,2020,GUATEMALA,125886.0,125886.0,,
çimento,2020,YUNANİSTAN,115946.0,115946.0,,
çimento,2020,IRAK,105632.0,,,105632.0
çimento,2020,İSPANYA,89670.0,89670.0,,
çimento,2020,BREZİLYA,81600.0,81600.0,,
çimento,2020,ARNAVUTLUK,80014.0,80014.0,,
çimento,2020,HONDURAS,79812.0,79812.0,,
çimento,2020,AFGANİSTAN,73404.0,,50960.0,22444.0
çimento,2020,PANAMA,71753.0,71753.0,,
çimento,2020,FRANSA,67864.0,67864.0,,
çimento,2020,FAS,67356.0,67356.0,,
çimento,2020,KANADA,54899.0,54899.0,,
çimento,2020,ALMANYA,49604.0,49601.0,,3.0
çimento,2020,Mersin Ser. Böl.,44115.0,,,44115.0
çimento,2020,SURİNAM,43381.0,43381.0,,
çimento,2020,YEMEN,40510.0,40510.0,,
çimento,2020,İNGİLTERE,31320.0,31320.0,,
çimento,2020,SIRBİSTAN,22154.0,6162.0,15992.0,
çimento,2020,EKVATOR GİNESİ,20001.0,20001.0,,
çimento,2020,MEKSİKA,20001.0,20001.0,,
çimento,2020,FİLİSTİN,19958.0,19958.0,,
çimento,2020,GUYANA,18431.0,18431.0,,
çimento,2020,POLONYA,18284.0,,,18284.0
çimento,2020,ARJANTİN,17094.0,17094.0,,
çimento,2020,PERU,14734.0,14734.0,,
çimento,2020,TANZANYA,14047.0,14047.0,,
çimento,2020,HIRVATİSTAN,13260.0,13260.0,,
çimento,2020,KOLOMBİYA,12709.0,12709.0,,
çimento,2020,GÜNEY AFRİKA,11538.0,11538.0,,
çimento,2020,BURKİNA FASO,11001.0,11001.0,,
çimento,2020,MALİ,11000.0,11000.0,,
çimento,2020,BEYAZ RUSYA,10051.0,10051.0,,
çimento,2020,KOSTA RİKA,7527.0,7527.0,,
çimento,2020,KOSOVA,6401.0,6401.0,,
çimento,2020,DANİMARKA,5900.0,5900.0,,
çimento,2020,DOMİNİK,5189.0,5189.0,,
çimento,2020,İRLANDA,5062.0,5062.0,,
çimento,2020,BENİN,5001.0,5001.0,,
çimento,2020,CAPE VERDE,4151.0,4151.0,,
çimento,2020,KENYA,3688.0,3688.0,,
çimento,2020,ŞİLİ,3479.0,3479.0,,
çimento,2020,KARADAĞ,2500.0,2500.0,,
çimento,2020,ESTONYA,2482.0,2482.0,,
çimento,2020,MALTA,2421.0,2421.0,,
çimento,2020,EL SALVADOR,2219.0,2219.0,,
çimento,2020,ABHAZYA,2126.0,2126.0,,
çimento,2020,MISIR,2001.0,2001.0,,
çimento,2020,NİJERYA,1953.0,1953.0,,
çimento,2020,TOGO,1950.0,1950.0,,
çimento,2020,EKVATOR ,1735.0,1735.0,,
çimento,2020,AZERBAYCAN,1655.0,,,1655.0
çimento,2020,MARSHALL ADALARI,1441.0,1441.0,,
çimento,2020,GİNE,1204.0,1204.0,,
çimento,2020,MORİTANYA,1195.0,1195.0,,
çimento,2020,FİNLANDİYA,1106.0,1106.0,,
çimento,2020,GÜNEY KORE,1014.0,1014.0,,
çimento,2020,KATAR,973.0,973.0,,
çimento,2020,MAURİTİUS,897.0,897.0,,
çimento,2020,SRİ LANKA,682.0,682.0,,
çimento,2020,ST VINCENT,675.0,675.0,,
çimento,2020,FİLDİŞİ SAHİLİ,646.0,646.0,,
çimento,2020,SUDAN,500.0,500.0,,
çimento,2020,ÖZBEKİSTAN,330.0,,,330.0
çimento,2020,YENİ ZELANDA,272.0,272.0,,
çimento,2020,JAMAİKA,271.0,271.0,,
çimento,2020,AVUSTRALYA,240.0,240.0,,
çimento,2020,KONGO,224.0,224.0,,
çimento,2020,TAHİTİ,216.0,216.0,,
çimento,2020,URUGUAY,187.0,187.0,,
çimento,2020,LETONYA,159.0,159.0,,
çimento,2020,BARBADOS,134.0,134.0,,
çimento,2020,PORTO RİKO,133.0,133.0,,
çimento,2020,MOZAMBİK,129.0,129.0,,
çimento,2020,LİTVANYA,120.0,120.0,,
çimento,2020,TACİKİSTAN,120.0,,,120.0
çimento,2020,VENEZUELLA,112.0,112.0,,
çimento,2020,Yumurtalık Ser. B,110.0,110.0,,
çimento,2020,TÜRKMENİSTAN,92.0,,,92.0
çimento,2020,ETİYOPYA,68.0,68.0,,
çimento,2020,ANTİIGUA & BARBUDA,54.0,54.0,,
çimento,2020,ÇURACAO,54.0,54.0,,
çimento,2020,TRİNİDAD TOBAGO,54.0,54.0,,
çimento,2020,BAHAMA,53.0,53.0,,
çimento,2020,BELÇİKA,48.0,48.0,,
çimento,2020,RUANDA,48.0,48.0,,
çimento,2020,BOLİVYA,27.0,27.0,,
çimento,2020,CİBUTİ,27.0,27.0,,
çimento,2021,A.B.D.,7108758.0,7108758.0,,
çimento,2021,İSRAİL,3231299.0,3231299.0,,
çimento,2021,SURİYE,1340850.0,,,1340850.0
çimento,2021,HAİTİ,952780.0,952780.0,,
çimento,2021,SİERRA LEONE,519368.0,519368.0,,
çimento,2021,UKRAYNA,458712.0,458712.0,,
çimento,2021,BULGARİSTAN,432357.0,4095.0,370038.0,58224.0
çimento,2021,İTALYA,416078.0,416078.0,,
çimento,2021,GANA,320690.0,320690.0,,
çimento,2021,İSPANYA,257947.0,257947.0,,
çimento,2021,ROMANYA,252609.0,252609.0,,
çimento,2021,LİBYA,229058.0,229058.0,,
çimento,2021,RUSYA,187082.0,187082.0,,
çimento,2021,K.K.T.C.,186076.0,186076.0,,
çimento,2021,KANADA,157667.0,157667.0,,
çimento,2021,YUNANİSTAN,150544.0,150544.0,,
çimento,2021,ARNAVUTLUK,149271.0,149271.0,,
çimento,2021,GÜRCİSTAN,143362.0,2119.0,,141243.0
çimento,2021,HONDURAS,124062.0,124062.0,,
çimento,2021,IRAK,116415.0,,,116415.0
çimento,2021,LİBERYA,106765.0,106765.0,,
çimento,2021,BREZİLYA,87288.0,87288.0,,
çimento,2021,GAMBİYA,67955.0,67955.0,,
çimento,2021,GUYANA,63594.0,63594.0,,
çimento,2021,FAS,54890.0,54890.0,,
çimento,2021,MALTA,51846.0,51846.0,,
çimento,2021,GUATEMALA,49026.0,49026.0,,
çimento,2021,Mersin Ser. Böl.,44275.0,44275.0,,
çimento,2021,HIRVATİSTAN,42850.0,42850.0,,
çimento,2021,SURİNAM,42601.0,42601.0,,
çimento,2021,SIRBİSTAN,37596.0,37596.0,,
çimento,2021,PANAMA,35279.0,35279.0,,
çimento,2021,İNGİLTERE,31118.0,31118.0,,
çimento,2021,BARBADOS,30291.0,30291.0,,
çimento,2021,ALMANYA,25028.0,25001.0,,27.0
çimento,2021,KARADAĞ,24775.0,24775.0,,
çimento,2021,ARJANTİN,18456.0,18456.0,,
çimento,2021,FRANSA,18293.0,18293.0,,
çimento,2021,KOSOVA,14018.0,14018.0,,
çimento,2021,MEKSİKA,12001.0,12001.0,,
çimento,2021,TANZANYA,11575.0,11575.0,,
çimento,2021,BURKİNA FASO,10502.0,10502.0,,
çimento,2021,KOSTA RİKA,10205.0,10205.0,,
çimento,2021,POLONYA,9879.0,9879.0,,
çimento,2021,İZLANDA,8801.0,8801.0,,
çimento,2021,HOLLANDA,6594.0,6594.0,,
çimento,2021,MALİ,6161.0,6161.0,,
çimento,2021,ŞİLİ,5389.0,5389.0,,
çimento,2021,DANİMARKA,5198.0,5198.0,,
çimento,2021,GÜNEY AFRİKA,5181.0,5181.0,,
çimento,2021,BENİN,5000.0,5000.0,,
çimento,2021,ABHAZYA,4513.0,4513.0,,
çimento,2021,ST KITTS & NEVIS,4276.0,4276.0,,
çimento,2021,BAHAMA,4077.0,4077.0,,
çimento,2021,ESTONYA,3611.0,3611.0,,
çimento,2021,EL SALVADOR,3308.0,3308.0,,
çimento,2021,EKVATOR ,3070.0,3070.0,,
çimento,2021,İSVİÇRE,3000.0,3000.0,,
çimento,2021,KENYA,2827.0,2827.0,,
çimento,2021,AZERBAYCAN,2225.0,,,2225.0
çimento,2021,İRLANDA,2040.0,2040.0,,
çimento,2021,FİLDİŞİ SAHİLİ,2001.0,2001.0,,
çimento,2021,GİNE,2001.0,2001.0,,
çimento,2021,FİNLANDİYA,1913.0,1913.0,,
çimento,2021,KOLOMBİYA,1603.0,1603.0,,
çimento,2021,DOMİNİK,1199.0,1199.0,,
çimento,2021,JAMAİKA,947.0,947.0,,
çimento,2021,GÜNEY KORE,918.0,918.0,,
çimento,2021,PERU,592.0,592.0,,
çimento,2021,BOLİVYA,542.0,542.0,,
çimento,2021,YEMEN,540.0,540.0,,
çimento,2021,SRİ LANKA,522.0,522.0,,
çimento,2021,KATAR,504.0,504.0,,
çimento,2021,KONGO,504.0,504.0,,
çimento,2021,LETONYA,492.0,492.0,,
çimento,2021,KÜBA,430.0,430.0,,
çimento,2021,URUGUAY,369.0,369.0,,
çimento,2021,VENEZUELLA,280.0,280.0,,
çimento,2021,MORİTANYA,266.0,266.0,,
çimento,2021,NİJERYA,247.0,247.0,,
çimento,2021,YENİ ZELANDA,245.0,245.0,,
çimento,2021,UGANDA,194.0,194.0,,
çimento,2021,MAURİTİUS,171.0,171.0,,
çimento,2021,ETİYOPYA,166.0,166.0,,
çimento,2021,BEYAZ RUSYA,160.0,160.0,,
çimento,2021,TRİNİDAD TOBAGO,136.0,136.0,,
çimento,2021,B.A.E.,112.0,112.0,,
çimento,2021,TÜRKMENİSTAN,72.0,72.0,,
çimento,2021,TOGO,56.0,56.0,,
çimento,2021,SOMALİ,56.0,56.0,,
çimento,2021,PARAGUAY,54.0,54.0,,
çimento,2022,A.B.D.,9655155.0,9655155.0,,
çimento,2022,İSRAİL,3153955.0,2947855.0,,206100.0
çimento,2022,SURİYE,1385720.0,,,1385720.0
çimento,2022,HAİTİ,649425.0,649425.0,,
çimento,2022,SİERRA LEONE,511549.0,511549.0,,
çimento,2022,BULGARİSTAN,384679.0,7303.0,331570.0,45806.0
çimento,2022,İTALYA,358453.0,358453.0,,
çimento,2022,ARNAVUTLUK,353452.0,353452.0,,
çimento,2022,KANADA,275963.0,275963.0,,
çimento,2022,ROMANYA,214371.0,214371.0,,
çimento,2022,GANA,172490.0,172490.0,,
çimento,2022,K.K.T.C.,172028.0,172028.0,,
çimento,2022,YUNANİSTAN,152888.0,152863.0,,25.0
çimento,2022,GÜRCİSTAN,139594.0,348.0,,139246.0
çimento,2022,IRAK,110347.0,,,110347.0
çimento,2022,BREZİLYA,95562.0,95562.0,,
çimento,2022,LİBERYA,72796.0,72796.0,,
çimento,2022,RUSYA,66758.0,66758.0,,
çimento,2022,JAMAİKA,58217.0,58217.0,,
çimento,2022,FAS,58133.0,58133.0,,
çimento,2022,İSPANYA,48590.0,48590.0,,
çimento,2022,İNGİLTERE,47309.0,47309.0,,
çimento,2022,SURİNAM,39614.0,39614.0,,
çimento,2022,HONDURAS,34997.0,34997.0,,
çimento,2022,Mersin Ser. Böl.,34867.0,34867.0,,
çimento,2022,GAMBİYA,33040.0,33040.0,,
çimento,2022,GRENADA,19998.6,19998.6,,
çimento,2022,TANZANYA,15350.0,15350.0,,
çimento,2022,GUYANA,15275.0,15275.0,,
çimento,2022,MAURİTİUS,13972.0,13972.0,,
çimento,2022,SIRBİSTAN,12505.0,7398.0,5107.0,
çimento,2022,KOSTA RİKA,12112.0,12112.0,,
çimento,2022,GUATEMALA,12000.0,12000.0,,
çimento,2022,UKRAYNA,8222.0,8222.0,,
çimento,2022,LİBYA,7447.0,7447.0,,
çimento,2022,KOSOVA,7221.0,7221.0,,
çimento,2022,EKVATOR ,6204.0,6204.0,,
çimento,2022,İZLANDA,5697.0,5697.0,,
çimento,2022,ŞİLİ,5548.0,5548.0,,
çimento,2022,İRLANDA,5451.0,5451.0,,
çimento,2022,DOMİNİK,4873.0,4873.0,,
çimento,2022,DANİMARKA,4835.0,4835.0,,
çimento,2022,GÜNEY AFRİKA,3897.0,3897.0,,
çimento,2022,AZERBAYCAN,3193.0,,,3193.0
çimento,2022,ESTONYA,2746.0,2746.0,,
çimento,2022,ARJANTİN,2710.0,2710.0,,
çimento,2022,KENYA,2285.0,2285.0,,
çimento,2022,EL SALVADOR,2147.0,2147.0,,
çimento,2022,FİNLANDİYA,2046.0,2046.0,,
çimento,2022,HOLLANDA,1894.0,1894.0,,
çimento,2022,MALTA,1876.0,1876.0,,
çimento,2022,BOLİVYA,1590.0,1590.0,,
çimento,2022,NİJERYA,1502.0,1502.0,,
çimento,2022,ABHAZYA,1442.0,,,1442.0
çimento,2022,BAHAMA,1352.0,1352.0,,
çimento,2022,ST KITTS & NEVIS,1297.0,1297.0,,
çimento,2022,GİNE,1022.0,1022.0,,
çimento,2022,YEMEN,999.0,999.0,,
çimento,2022,BELARUS,909.0,909.0,,
çimento,2022,FRANSA,891.0,891.0,,
çimento,2022,PANAMA,638.0,638.0,,
çimento,2022,PERU,620.0,620.0,,
çimento,2022,BARBADOS,531.0,531.0,,
çimento,2022,S.ARABİSTAN,513.0,513.0,,
çimento,2022,GÜNEY KORE,486.0,486.0,,
çimento,2022,URUGUAY,431.0,431.0,,
çimento,2022,KATAR,392.0,,,392.0
çimento,2022,SENEGAL,390.0,390.0,,
çimento,2022,YENİ ZELANDA,314.0,314.0,,
çimento,2022,LETONYA,299.0,299.0,,
çimento,2022,VENEZUELLA,223.0,223.0,,
çimento,2022,MALİ,189.0,189.0,,
çimento,2022,ETİYOPYA,140.0,,,140.0
çimento,2022,SRİ LANKA,140.0,140.0,,
çimento,2022,MOZAMBİK,112.0,112.0,,
çimento,2022,BENİN,109.0,109.0,,
çimento,2022,PARAGUAY,106.0,106.0,,
çimento,2022,SOMALİ,84.0,84.0,,
çimento,2022,KONGO,80.0,80.0,,
çimento,2022,GABON,54.0,54.0,,
çimento,2022,TRİNİDAD TOBAGO,54.0,54.0,,
çimento,2022,TÜRKMENİSTAN,17.0,17.0,,
